UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rad/s],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
46,L47225,0,298.8,309.1,155.92771537317338,49.1,128,0,0,0,0,0,0
47,M14906,1,298.7,309.0,192.99850868553295,25.8,130,0,0,0,0,0,0
48,L47227,0,298.8,309.1,148.49261275967757,46.3,133,0,0,0,0,0,0
49,H29462,2,298.8,309.2,149.22565104551515,53.9,135,0,0,0,0,0,0
50,M14909,1,298.9,309.2,147.86429422895958,44.1,140,0,0,0,0,0,0
51,L47230,0,298.9,309.1,299.6032193973466,4.6,143,1,0,0,1,0,0
52,L47231,0,298.9,309.1,144.82742133048947,54.9,145,0,0,0,0,0,0
53,H29466,2,298.8,309.0,156.76547341413067,43.8,147,0,0,0,0,0,0
54,L47233,0,298.7,309.0,163.88641676226752,35.1,152,0,0,0,0,0,0
55,L47234,0,298.7,309.0,177.0811059073447,30.1,154,0,0,0,0,0,0
56,L47235,0,298.8,309.1,158.3362697409256,40.7,156,0,0,0,0,0,0
57,L47236,0,298.8,309.1,154.67107831173746,42.4,158,0,0,0,0,0,0
58,L47237,0,298.8,309.1,158.44098949604523,40.3,160,0,0,0,0,0,0
59,M14918,1,298.8,309.0,173.93951325375488,29.5,162,0,0,0,0,0,0
60,L47239,0,298.8,309.1,144.30382255489116,54.4,165,0,0,0,0,0,0
61,L47240,0,298.8,309.1,145.87461888168605,52.6,167,0,0,0,0,0,0
62,M14921,1,298.8,309.0,166.71385015049836,38.2,169,0,0,0,0,0,0
63,L47242,0,298.8,309.0,191.53243211385774,22.9,172,0,0,0,0,0,0
64,M14923,1,298.9,309.0,189.7521962768235,25.9,174,0,0,0,0,0,0
65,L47244,0,299.0,309.1,159.48818704724184,38.6,177,0,0,0,0,0,0
66,L47245,0,299.0,309.1,145.97933863680572,45.1,179,0,0,0,0,0,0
67,M14926,1,298.9,308.9,175.82446884590874,28.7,181,0,0,0,0,0,0
68,H29481,2,298.8,308.9,153.5191610054212,44.1,184,0,0,0,0,0,0
69,L47248,0,298.8,308.9,159.90706606772045,32.4,189,0,0,0,0,0,0
70,L47249,0,298.9,309.0,147.6548547187203,65.7,191,1,0,0,1,1,0
71,M14930,1,298.9,309.0,201.4808088502254,22.6,193,0,0,0,0,0,0
72,L47251,0,298.9,309.1,152.053084433746,45.5,196,0,0,0,0,0,0
73,L47252,0,298.9,309.1,143.36134475881423,44.4,198,0,0,0,0,0,0
74,L47253,0,299.0,309.1,166.71385015049836,35.0,200,0,0,0,0,0,0
75,L47254,0,298.9,309.0,167.6563279465753,32.3,202,0,0,0,0,0,0
76,L47255,0,298.8,308.9,144.40854231001083,46.7,204,0,0,0,0,0,0
77,L47256,0,298.8,308.9,152.99556222982292,47.9,206,0,0,0,0,0,0
78,L47257,0,298.8,308.9,152.36724369910496,41.3,208,1,1,0,0,0,0
79,L47258,0,298.8,308.9,146.39821765728436,51.5,0,0,0,0,0,0,0
80,L47259,0,298.8,308.9,146.817096677763,37.9,2,0,0,0,0,0,0
81,H29494,2,298.8,308.8,151.32004614790836,49.9,4,0,0,0,0,0,0
82,L47261,0,298.9,308.9,151.84364492350664,47.5,9,0,0,0,0,0,0
83,L47262,0,298.9,308.9,152.15780418886564,40.8,11,0,0,0,0,0,0
84,L47263,0,299.0,309.0,153.83332027078018,40.1,13,0,0,0,0,0,0
85,L47264,0,298.9,308.9,148.91149178015618,47.6,15,0,0,0,0,0,0
86,M14945,1,299.0,309.0,188.91443823586624,26.8,17,0,0,0,0,0,0
87,H29500,2,299.0,309.0,150.37756835183143,43.9,20,0,0,0,0,0,0
88,L47267,0,299.0,309.0,161.6873019047547,31.8,25,0,0,0,0,0,0
89,M14948,1,299.0,309.0,148.59733251479722,45.2,27,0,0,0,0,0,0
90,M14949,1,298.9,308.9,155.7182758629341,39.5,30,0,0,0,0,0,0
91,L47270,0,298.9,308.9,183.57373072476358,25.8,33,0,0,0,0,0,0
92,L47271,0,298.9,308.9,191.63715186897738,24.9,35,0,0,0,0,0,0
93,M14952,1,298.9,308.9,180.85101709165244,27.1,37,0,0,0,0,0,0
94,L47273,0,299.1,309.0,151.84364492350664,43.0,40,0,0,0,0,0,0
95,L47274,0,299.0,308.9,169.85544280408814,31.9,42,0,0,0,0,0,0
96,M14955,1,299.0,309.0,141.47638916666034,52.2,44,0,0,0,0,0,0
97,M14956,1,299.0,309.0,164.93361431346415,35.3,47,0,0,0,0,0,0
98,M14957,1,298.9,308.9,183.25957145940458,29.9,50,0,0,0,0,0,0
99,L47278,0,298.9,308.8,160.1165055779598,32.7,53,0,0,0,0,0,0
100,L47279,0,298.8,308.8,159.48818704724184,44.4,55,0,0,0,0,0,0
101,L47280,0,298.8,308.9,193.94098648160988,25.0,57,0,0,0,0,0,0
102,L47281,0,298.8,308.8,208.4970324432426,20.7,59,0,0,0,0,0,0
103,L47282,0,298.8,308.8,162.83921921107094,40.6,61,0,0,0,0,0,0
104,M14963,1,298.8,308.8,150.90116712742974,40.5,63,0,0,0,0,0,0
105,L47284,0,298.8,308.7,151.84364492350664,43.4,66,0,0,0,0,0,0
106,L47285,0,298.8,308.7,166.60913039537868,31.1,68,0,0,0,0,0,0
107,L47286,0,298.8,308.7,151.32004614790836,48.5,70,0,0,0,0,0,0
108,M14967,1,298.8,308.8,156.76547341413067,46.8,72,0,0,0,0,0,0
109,H29522,2,298.9,308.8,169.7507230489685,32.7,75,0,0,0,0,0,0
110,L47289,0,298.9,308.7,164.61945504810515,34.1,80,0,0,0,0,0,0
111,L47290,0,298.8,308.6,196.0353815840031,22.5,82,0,0,0,0,0,0
112,H29525,2,298.7,308.6,156.97491292437,43.5,84,0,0,0,0,0,0
113,M14972,1,298.8,308.7,156.87019316925034,39.5,89,0,0,0,0,0,0
114,M14973,1,298.8,308.6,155.61355610781442,41.9,92,0,0,0,0,0,0
115,L47294,0,298.8,308.6,175.92918860102841,29.4,95,0,0,0,0,0,0
116,L47295,0,298.8,308.6,149.8539695762331,45.7,97,0,0,0,0,0,0
117,L47296,0,298.9,308.7,163.7816970071479,34.1,99,0,0,0,0,0,0
118,L47297,0,298.8,308.6,167.44688843633597,33.0,101,0,0,0,0,0,0
119,M14978,1,298.8,308.6,178.75662198925923,28.1,103,0,0,0,0,0,0
120,L47299,0,298.7,308.5,153.62388076054089,40.7,106,0,0,0,0,0,0
121,L47300,0,298.9,308.7,150.06340908647243,44.7,108,0,0,0,0,0,0
122,L47301,0,298.9,308.7,163.1533784764299,41.2,110,0,0,0,0,0,0
123,L47302,0,299.0,308.8,137.1828792067543,50.7,112,0,0,0,0,0,0
124,L47303,0,298.9,308.7,161.89674141499398,43.4,114,0,0,0,0,0,0
125,L47304,0,298.9,308.7,180.85101709165244,29.4,116,0,0,0,0,0,0
126,L47305,0,298.9,308.6,163.36281798666923,32.2,118,0,0,0,0,0,0
127,L47306,0,299.0,308.6,139.17255455402784,60.5,120,0,0,0,0,0,0
128,L47307,0,298.9,308.6,147.96901398407925,46.5,122,0,0,0,0,0,0
129,L47308,0,299.0,308.6,166.19025137490004,38.6,124,0,0,0,0,0,0
130,L47309,0,298.9,308.5,163.25809823154958,34.3,126,0,0,0,0,0,0
131,L47310,0,298.8,308.4,154.25219929125885,41.1,128,0,0,0,0,0,0
132,L47311,0,298.8,308.4,181.898214642849,27.7,130,0,0,0,0,0,0
133,M14992,1,298.7,308.4,150.90116712742974,43.2,132,0,0,0,0,0,0
134,M14993,1,298.7,308.4,149.7492498211135,49.6,135,0,0,0,0,0,0
135,L47314,0,298.8,308.4,143.36134475881423,53.0,138,0,0,0,0,0,0
136,M14995,1,298.8,308.5,179.17550100973784,28.5,140,0,0,0,0,0,0
137,H29550,2,298.7,308.5,148.70205226991686,45.7,143,0,0,0,0,0,0
138,L47317,0,298.7,308.6,135.82152239019874,55.3,148,0,0,0,0,0,0
139,H29552,2,298.8,308.6,151.73892516838703,49.4,150,0,0,0,0,0,0
140,L47319,0,298.8,308.6,132.7846494917286,55.8,155,0,0,0,0,0,0
141,L47320,0,298.8,308.6,158.2315499858059,36.1,157,0,0,0,0,0,0
142,L47321,0,298.7,308.5,161.6873019047547,35.2,159,0,0,0,0,0,0
143,M15002,1,298.6,308.4,186.19172460275507,28.2,161,0,0,0,0,0,0
144,H29557,2,298.6,308.4,147.3406954533613,50.5,164,0,0,0,0,0,0
145,M15004,1,298.6,308.4,145.66517937144675,42.4,169,0,0,0,0,0,0
146,L47325,0,298.5,308.4,158.44098949604523,33.6,172,0,0,0,0,0,0
147,H29560,2,298.5,308.4,168.80824525289154,36.1,174,0,0,0,0,0,0
148,L47327,0,298.4,308.4,158.65042900628455,40.1,179,0,0,0,0,0,0
149,M15008,1,298.3,308.3,144.40854231001083,48.0,181,0,0,0,0,0,0
150,L47329,0,298.4,308.3,154.25219929125885,39.9,184,0,0,0,0,0,0
151,L47330,0,298.4,308.3,148.91149178015618,42.7,186,0,0,0,0,0,0
152,M15011,1,298.4,308.2,153.20500174006224,37.6,188,0,0,0,0,0,0
153,M15012,1,298.4,308.2,165.87609210954108,41.0,191,0,0,0,0,0,0
154,L47333,0,298.4,308.2,193.73154697137056,27.0,194,0,0,0,0,0,0
155,L47334,0,298.4,308.2,160.01178582284012,36.2,196,0,0,0,0,0,0
156,H29569,2,298.4,308.2,208.07815342276396,19.8,198,0,0,0,0,0,0
157,M15016,1,298.4,308.1,156.55603390389135,46.0,203,0,0,0,0,0,0
158,H29571,2,298.4,308.2,154.77579806685713,43.5,206,0,0,0,0,0,0
159,M15018,1,298.4,308.2,156.97491292437,40.0,211,0,0,0,0,0,0
160,L47339,0,298.4,308.2,154.04275978101953,47.0,214,0,0,0,0,0,0
161,L47340,0,298.4,308.2,134.25072606340382,60.7,216,1,0,0,0,1,0
162,L47341,0,298.3,308.1,147.86429422895958,52.3,218,1,0,0,0,1,0
163,L47342,0,298.3,308.1,166.0855316197804,35.5,0,0,0,0,0,0,0
164,M15023,1,298.4,308.2,153.72860051566056,43.8,2,0,0,0,0,0,0
165,M15024,1,298.5,308.3,150.79644737231007,43.6,5,0,0,0,0,0,0
166,L47345,0,298.5,308.4,181.47933562237037,26.0,8,0,0,0,0,0,0
167,H29580,2,298.4,308.2,168.80824525289154,32.6,10,0,0,0,0,0,0
168,H29581,2,298.4,308.3,152.68140296446393,42.9,15,0,0,0,0,0,0
169,L47348,0,298.4,308.3,150.06340908647243,62.3,20,1,0,0,1,0,0
170,L47349,0,298.4,308.3,138.02063724771156,59.1,22,0,0,0,0,0,0
171,M15030,1,298.4,308.2,168.59880574265222,35.0,24,0,0,0,0,0,0
172,L47351,0,298.2,308.1,153.1002819849426,50.8,27,0,0,0,0,0,0
173,M15032,1,298.1,308.0,201.4808088502254,20.8,29,0,0,0,0,0,0
174,M15033,1,298.2,308.0,166.60913039537868,33.7,32,0,0,0,0,0,0
175,L47354,0,298.2,308.1,136.76400018627567,58.3,35,0,0,0,0,0,0
176,L47355,0,298.2,308.1,144.7227015753698,43.5,37,0,0,0,0,0,0
177,L47356,0,298.2,308.1,169.4365637836095,34.7,39,0,0,0,0,0,0
178,L47357,0,298.2,308.2,208.18287317788364,21.4,41,0,0,0,0,0,0
179,L47358,0,298.2,308.2,150.37756835183143,50.2,43,0,0,0,0,0,0
180,L47359,0,298.2,308.3,136.55456067603632,49.8,45,0,0,0,0,0,0
181,L47360,0,298.2,308.3,154.46163880149817,49.9,47,0,0,0,0,0,0
182,H29595,2,298.2,308.3,191.00883333825942,24.2,49,0,0,0,0,0,0
183,M15042,1,298.1,308.2,140.53391137058338,48.1,54,0,0,0,0,0,0
184,L47363,0,298.1,308.2,155.50883635269477,40.7,57,0,0,0,0,0,0
185,L47364,0,298.2,308.2,174.56783178447282,30.6,59,0,0,0,0,0,0
186,L47365,0,298.2,308.2,151.42476590302803,38.2,61,0,0,0,0,0,0
187,L47366,0,298.1,308.3,136.24040141067735,56.0,63,0,0,0,0,0,0
188,L47367,0,298.2,308.4,144.40854231001083,43.1,65,0,0,0,0,0,0
189,L47368,0,298.3,308.5,168.1799267221736,33.6,67,0,0,0,0,0,0
190,M15049,1,298.3,308.4,161.16370312915637,43.4,69,0,0,0,0,0,0
191,L47370,0,298.2,308.4,154.67107831173746,49.9,72,0,0,0,0,0,0
192,L47371,0,298.2,308.4,174.46311202935317,34.6,74,0,0,0,0,0,0
193,H29606,2,298.2,308.4,146.39821765728436,51.8,76,0,0,0,0,0,0
194,H29607,2,298.2,308.4,175.7197490907891,34.6,81,0,0,0,0,0,0
195,M15054,1,298.2,308.5,280.4395042104489,10.7,86,1,0,0,1,0,0
196,L47375,0,298.3,308.5,152.15780418886564,42.9,89,0,0,0,0,0,0
197,H29610,2,298.3,308.6,149.9586893313528,49.5,91,0,0,0,0,0,0
198,M15057,1,298.4,308.6,159.90706606772045,40.9,96,0,0,0,0,0,0
199,L47378,0,298.4,308.7,166.29497113001972,35.0,99,0,0,0,0,0,0
200,L47379,0,298.4,308.6,150.06340908647243,47.1,101,0,0,0,0,0,0
201,L47380,0,298.4,308.6,168.49408598753254,35.0,103,0,0,0,0,0,0
202,L47381,0,298.3,308.5,164.93361431346415,41.2,105,0,0,0,0,0,0
203,M15062,1,298.4,308.5,171.3215193757634,35.7,107,0,0,0,0,0,0
204,L47383,0,298.4,308.5,156.03243512829306,37.9,110,0,0,0,0,0,0
205,L47384,0,298.4,308.5,182.31709366332768,32.8,112,0,0,0,0,0,0
206,M15065,1,298.5,308.6,140.74335088082273,53.0,114,0,0,0,0,0,0
207,L47386,0,298.5,308.7,168.49408598753254,35.3,117,0,0,0,0,0,0
208,M15067,1,298.4,308.7,148.80677202503654,60.7,119,1,0,0,1,0,0
209,L47388,0,298.4,308.6,166.60913039537868,36.7,122,0,0,0,0,0,0
210,L47389,0,298.4,308.6,154.67107831173746,44.0,124,0,0,0,0,0,0
211,L47390,0,298.4,308.7,159.48818704724184,36.1,126,0,0,0,0,0,0
212,L47391,0,298.5,308.7,164.93361431346415,33.9,128,0,0,0,0,0,0
213,H29626,2,298.4,308.7,140.74335088082273,52.9,130,0,0,0,0,0,0
214,L47393,0,298.4,308.7,145.14158059584844,44.9,135,0,0,0,0,0,0
215,M15074,1,298.3,308.6,166.3996908851394,37.1,137,0,0,0,0,0,0
216,L47395,0,298.3,308.6,162.10618092523333,40.3,140,0,0,0,0,0,0
217,L47396,0,298.3,308.6,156.97491292437,38.3,142,0,0,0,0,0,0
218,L47397,0,298.3,308.5,174.25367251911388,31.6,144,0,0,0,0,0,0
219,L47398,0,298.3,308.6,151.52948565814768,38.1,146,0,0,0,0,0,0
220,M15079,1,298.3,308.5,150.1681288415921,46.2,148,0,0,0,0,0,0
221,L47400,0,298.3,308.5,148.28317324943825,52.7,151,0,0,0,0,0,0
222,H29635,2,298.4,308.5,191.3229926036184,24.3,153,0,0,0,0,0,0
223,L47402,0,298.4,308.6,136.55456067603632,45.0,158,0,0,0,0,0,0
224,L47403,0,298.4,308.6,164.30529578274619,34.4,160,0,0,0,0,0,0
225,L47404,0,298.3,308.6,165.87609210954108,29.3,162,0,0,0,0,0,0
226,L47405,0,298.3,308.5,142.6283064729766,53.8,164,0,0,0,0,0,0
227,L47406,0,298.3,308.4,139.17255455402784,49.2,166,0,0,0,0,0,0
228,L47407,0,298.3,308.5,161.16370312915637,36.1,168,0,0,0,0,0,0
229,M15088,1,298.3,308.5,170.58848108992575,37.1,170,0,0,0,0,0,0
230,L47409,0,298.3,308.5,161.05898337403673,32.2,173,0,0,0,0,0,0
231,L47410,0,298.3,308.6,164.41001553786586,34.8,175,0,0,0,0,0,0
232,L47411,0,298.3,308.4,147.44541520848094,43.1,177,0,0,0,0,0,0
233,L47412,0,298.2,308.4,149.12093129039553,47.6,179,0,0,0,0,0,0
234,L47413,0,298.2,308.4,158.3362697409256,34.9,181,0,0,0,0,0,0
235,L47414,0,298.2,308.4,154.77579806685713,42.9,183,0,0,0,0,0,0
236,M15095,1,298.1,308.3,175.92918860102841,33.7,185,0,0,0,0,0,0
237,L47416,0,298.1,308.3,156.55603390389135,38.7,188,0,0,0,0,0,0
238,M15097,1,298.0,308.1,162.52505994571194,36.6,190,0,0,0,0,0,0
239,L47418,0,297.9,308.1,145.87461888168605,50.3,193,0,0,0,0,0,0
240,L47419,0,298.0,308.2,168.7035254977719,30.6,195,0,0,0,0,0,0
241,M15100,1,298.0,308.1,140.21975210522444,51.6,197,0,0,0,0,0,0
242,L47421,0,298.0,308.1,186.0870048476354,24.3,200,0,0,0,0,0,0
243,L47422,0,298.0,308.2,141.16222990130137,58.8,202,1,0,0,0,1,0
244,L47423,0,298.0,308.2,151.0058868825494,44.1,204,0,0,0,0,0,0
245,M15104,1,298.0,308.2,146.08405839192537,49.1,206,0,0,0,0,0,0
246,M15105,1,297.9,308.1,170.37904157968646,31.4,209,0,0,0,0,0,0
247,L47426,0,297.9,308.1,165.98081186466072,33.5,212,0,0,0,0,0,0
248,L47427,0,298.0,308.2,153.83332027078018,45.5,214,0,0,0,0,0,0
249,L47428,0,298.0,308.3,142.6283064729766,56.8,216,1,0,0,0,1,0
250,L47429,0,298.0,308.3,147.131255943122,56.2,218,1,0,0,0,1,0
251,L47430,0,298.0,308.3,174.04423300887453,32.7,0,0,0,0,0,0,0
252,M15111,1,298.0,308.2,153.5191610054212,42.6,2,0,0,0,0,0,0
253,L47432,0,298.0,308.2,169.64600329384882,35.8,5,0,0,0,0,0,0
254,L47433,0,298.0,308.2,142.1047076973783,48.2,7,0,0,0,0,0,0
255,L47434,0,298.0,308.2,158.54570925116488,37.9,9,0,0,0,0,0,0
256,L47435,0,298.0,308.2,155.92771537317338,40.4,11,0,0,0,0,0,0
257,L47436,0,298.1,308.3,139.38199406426713,63.0,13,0,0,0,0,0,0
258,L47437,0,298.0,308.0,169.1224045182505,29.5,15,0,0,0,0,0,0
259,L47438,0,298.1,308.2,155.19467708733578,37.9,17,0,0,0,0,0,0
260,M15119,1,298.1,308.2,148.70205226991686,63.9,19,1,0,0,1,0,0
261,M15120,1,298.2,308.3,159.38346729212216,49.1,22,0,0,0,0,0,0
262,L47441,0,298.1,308.2,173.20647496791725,32.1,25,0,0,0,0,0,0
263,M15122,1,298.1,308.2,181.79349488772934,26.8,27,0,0,0,0,0,0
264,M15123,1,298.0,308.1,166.19025137490004,32.3,30,0,0,0,0,0,0
265,L47444,0,298.1,308.2,145.56045961632708,47.5,33,0,0,0,0,0,0
266,L47445,0,298.0,308.1,152.26252394398531,37.1,35,0,0,0,0,0,0
267,H29680,2,298.0,308.1,150.79644737231007,43.7,37,0,0,0,0,0,0
268,L47447,0,297.9,308.0,204.62240150381518,21.1,42,0,0,0,0,0,0
269,H29682,2,297.9,308.0,188.49555921538757,24.8,44,0,0,0,0,0,0
270,L47449,0,298.0,308.0,159.59290680236148,37.0,49,0,0,0,0,0,0
271,H29684,2,298.0,308.0,159.17402778188284,39.6,51,0,0,0,0,0,0
272,M15131,1,298.1,308.1,152.053084433746,40.8,56,0,0,0,0,0,0
273,L47452,0,298.1,308.1,155.4041165975751,40.4,59,0,0,0,0,0,0
274,L47453,0,298.1,308.0,149.33037080063482,46.0,61,0,0,0,0,0,0
275,L47454,0,298.1,308.0,172.99703545767795,28.5,63,0,0,0,0,0,0
276,L47455,0,298.0,308.0,146.71237692264333,54.7,65,0,0,0,0,0,0
277,M15136,1,298.0,307.9,183.25957145940458,26.6,67,0,0,0,0,0,0
278,H29691,2,298.0,308.0,154.8805178219768,50.7,70,0,0,0,0,0,0
279,M15138,1,298.0,308.0,169.64600329384882,29.4,75,0,0,0,0,0,0
280,L47459,0,298.0,308.1,190.4852345626611,23.4,78,0,0,0,0,0,0
281,M15140,1,298.1,308.1,152.47196345422464,43.7,80,0,0,0,0,0,0
282,L47461,0,298.1,308.0,170.27432182456678,36.5,83,0,0,0,0,0,0
283,M15142,1,298.1,308.1,145.56045961632708,49.8,85,0,0,0,0,0,0
284,L47463,0,298.2,308.2,153.83332027078018,43.0,88,0,0,0,0,0,0
285,L47464,0,298.2,308.3,214.7802177504222,19.2,90,0,0,0,0,0,0
286,L47465,0,298.2,308.3,164.2005760276265,36.0,92,0,0,0,0,0,0
287,L47466,0,298.2,308.3,166.3996908851394,33.2,94,0,0,0,0,0,0
288,L47467,0,298.2,308.3,189.0191579909859,31.6,96,0,0,0,0,0,0
289,H29702,2,298.2,308.4,145.0368608407288,42.2,98,0,0,0,0,0,0
290,L47469,0,298.1,308.4,150.37756835183143,46.7,103,0,0,0,0,0,0
291,L47470,0,298.1,308.4,150.58700786207075,45.6,105,0,0,0,0,0,0
292,L47471,0,298.0,308.3,154.25219929125885,42.6,107,0,0,0,0,0,0
293,L47472,0,298.1,308.4,139.8008730847458,40.2,109,0,0,0,0,0,0
294,H29707,2,298.1,308.5,145.7698991265664,44.8,111,0,0,0,0,0,0
295,M15154,1,298.1,308.5,143.67550402417322,51.1,116,0,0,0,0,0,0
296,M15155,1,298.1,308.6,179.6990997853362,30.7,119,0,0,0,0,0,0
297,L47476,0,298.0,308.5,146.08405839192537,46.2,122,0,0,0,0,0,0
298,L47477,0,298.0,308.5,179.3849405199772,25.3,124,0,0,0,0,0,0
299,H29712,2,297.9,308.5,222.94835864975565,18.7,126,0,0,0,0,0,0
300,M15159,1,297.8,308.3,164.09585627250686,35.6,131,0,0,0,0,0,0
301,L47480,0,297.8,308.4,169.85544280408814,38.3,134,0,0,0,0,0,0
302,L47481,0,297.7,308.4,182.212373908208,27.1,136,0,0,0,0,0,0
303,H29716,2,297.8,308.4,158.3362697409256,35.1,138,0,0,0,0,0,0
304,M15163,1,297.8,308.4,154.8805178219768,43.5,143,0,0,0,0,0,0
305,L47484,0,297.8,308.4,181.898214642849,27.5,146,0,0,0,0,0,0
306,L47485,0,297.8,308.4,222.94835864975565,19.2,148,0,0,0,0,0,0
307,L47486,0,297.8,308.4,143.8849435344125,47.1,150,0,0,0,0,0,0
308,M15167,1,297.8,308.4,165.35249333394276,36.6,152,0,0,0,0,0,0
309,L47488,0,297.9,308.5,136.659280431156,47.2,155,0,0,0,0,0,0
310,M15169,1,297.9,308.5,151.73892516838703,40.8,157,0,0,0,0,0,0
311,H29724,2,298.0,308.6,159.80234631260083,41.8,160,0,0,0,0,0,0
312,M15171,1,298.0,308.6,152.15780418886564,44.1,165,0,0,0,0,0,0
313,L47492,0,297.9,308.6,153.72860051566056,36.0,168,0,0,0,0,0,0
314,L47493,0,298.0,308.6,137.49703847211327,50.8,170,0,0,0,0,0,0
315,M15174,1,297.9,308.5,136.1356816555577,53.0,172,0,0,0,0,0,0
316,L47495,0,297.9,308.4,172.36871692696,40.6,175,0,0,0,0,0,0
317,L47496,0,297.8,308.4,179.48966027509684,33.2,177,0,0,0,0,0,0
318,L47497,0,297.8,308.4,176.4527873766267,28.4,179,0,0,0,0,0,0
319,L47498,0,297.8,308.4,158.3362697409256,39.9,181,0,0,0,0,0,0
320,L47499,0,297.8,308.4,168.80824525289154,32.1,183,0,0,0,0,0,0
321,H29734,2,297.8,308.4,162.31562043547265,38.2,185,0,0,0,0,0,0
322,L47501,0,297.8,308.4,158.96458827164355,32.5,190,0,0,0,0,0,0
323,L47502,0,297.8,308.5,151.63420541326735,40.0,192,0,0,0,0,0,0
324,L47503,0,297.8,308.5,163.4675377417889,46.3,194,0,0,0,0,0,0
325,M15184,1,297.8,308.5,155.8229956180537,41.9,196,0,0,0,0,0,0
326,L47505,0,297.8,308.5,177.91886394830195,27.8,199,0,0,0,0,0,0
327,L47506,0,297.7,308.5,157.1843524346093,41.4,201,0,0,0,0,0,0
328,L47507,0,297.7,308.5,143.78022377929287,56.7,203,1,0,0,0,1,0
329,H29742,2,297.6,308.4,178.3377429687806,31.4,205,0,0,0,0,0,0
